Installs by language
Date,Arabic,Bulgarian,Catalan,Chinese (China),Chinese (Taiwan),Croatian,Czech,Danish,Dutch,English,English (United Kingdom),English (United States),Estonian,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Latvian,Lithuanian,Norwegian,Persian,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese,en-ca,fr-ca
10/6/22,0,0,0,0,0,0,0,0,0,0,3,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10/7/22,0,0,0,1,0,0,0,0,0,0,2,12,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
10/8/22,0,0,0,0,1,0,0,0,0,0,1,8,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
10/9/22,0,0,0,0,0,0,0,0,0,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
10/10/22,0,0,0,0,0,0,0,0,0,0,2,8,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
10/11/22,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10/12/22,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
10/13/22,1,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/22,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10/15/22,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10/16/22,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10/17/22,2,0,0,0,0,0,0,0,2,0,3,13,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10/18/22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10/19/22,1,0,0,1,0,0,0,0,0,0,1,10,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
10/20/22,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/21/22,0,0,0,0,0,0,0,0,1,0,2,11,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0
10/22/22,0,1,0,0,0,0,0,0,0,0,1,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10/23/22,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10/24/22,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10/25/22,0,0,0,3,0,0,1,0,0,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
10/26/22,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/27/22,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10/28/22,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/29/22,0,0,0,0,0,0,0,0,0,0,2,9,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,1,0,0
10/30/22,1,0,0,0,0,0,1,0,0,0,2,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10/31/22,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11/1/22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0
11/2/22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11/3/22,0,0,0,2,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11/4/22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
11/5/22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11/6/22,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
11/7/22,1,0,0,0,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11/8/22,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11/9/22,0,0,0,1,0,0,1,1,3,0,6,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0
11/10/22,0,0,0,1,0,0,0,0,0,0,2,17,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0
11/11/22,0,0,0,1,1,0,0,0,1,0,4,17,0,1,2,3,0,0,0,2,0,0,0,0,0,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11/12/22,0,0,0,0,0,0,0,0,3,0,6,19,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0
11/13/22,0,0,0,0,0,0,0,0,0,0,6,23,0,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,2,0,0,0,1,0,0,0,0,2,0,0
11/14/22,0,0,0,1,0,0,0,0,0,0,1,19,0,0,5,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
11/15/22,1,0,0,0,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0
11/16/22,0,0,0,1,0,0,0,0,0,0,5,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11/17/22,0,0,0,0,0,0,1,0,2,0,6,8,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11/18/22,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11/19/22,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11/20/22,0,0,0,0,0,0,0,0,1,0,2,23,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
11/21/22,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0
11/22/22,0,0,0,0,0,0,0,0,0,0,2,7,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/24/22,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25/22,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26/22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11/27/22,0,0,0,4,0,0,0,0,1,0,14,49,0,0,0,1,0,0,0,49,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,1,0,0
11/28/22,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11/29/22,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
11/30/22,0,0,0,1,0,0,0,0,0,0,4,9,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
12/1/22,0,0,0,2,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/2/22,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/3/22,0,0,0,1,0,0,0,0,0,0,4,5,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12/4/22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/5/22,0,0,0,0,0,0,0,0,0,0,6,24,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12/6/22,0,0,0,6,0,0,0,0,1,0,14,44,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,2,0,0
12/7/22,0,0,0,10,0,0,0,0,0,0,3,19,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0
12/8/22,0,0,0,7,0,0,0,0,0,0,4,15,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/9/22,0,0,0,1,0,0,0,0,1,0,5,13,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12/10/22,0,0,0,2,0,0,0,0,1,0,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0
12/11/22,0,0,0,0,0,0,0,0,3,0,4,10,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12/12/22,0,0,0,1,1,0,0,0,1,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12/13/22,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0
12/14/22,0,0,0,2,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
12/15/22,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/22,0,0,0,0,0,0,0,0,0,0,4,64,0,0,3,0,0,0,0,56,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12/17/22,2,0,0,0,0,0,0,0,0,0,9,49,0,0,1,0,0,0,0,14,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,1,0,0,2,0,1,0,0
12/18/22,0,0,0,0,0,0,0,0,1,0,1,37,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12/19/22,0,0,0,1,0,0,0,0,3,0,3,17,0,0,1,0,0,0,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/22,0,0,0,1,0,0,0,1,0,0,2,6,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0
12/21/22,1,0,0,0,0,0,0,1,0,0,1,17,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
12/22/22,0,0,0,1,0,0,0,0,0,0,2,5,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,4,1,0,0,0,0,0,0
12/23/22,0,0,0,0,1,0,0,0,1,0,2,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12/24/22,0,0,0,1,0,0,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12/25/22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0
12/26/22,0,0,0,0,0,0,1,0,0,0,0,18,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
12/27/22,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/28/22,0,0,0,0,0,0,0,0,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0
12/29/22,0,0,0,0,0,0,0,0,1,0,2,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
12/30/22,0,0,0,0,1,1,0,0,0,0,2,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/22,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1/1/23,0,0,0,1,0,0,0,0,1,0,0,7,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1/2/23,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/3/23,0,0,0,1,0,0,0,0,1,0,3,16,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1/4/23,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1/5/23,0,0,0,0,0,0,0,0,2,0,5,7,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1/6/23,0,0,0,0,0,0,1,0,1,0,10,19,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
1/7/23,0,0,0,1,0,0,0,0,3,0,5,26,0,0,4,4,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0
1/8/23,0,0,0,0,0,0,0,0,0,0,6,19,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
1/9/23,0,0,0,0,0,0,0,0,2,0,9,17,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1/10/23,0,0,0,1,0,1,0,0,2,0,6,11,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0
1/11/23,0,0,0,0,0,0,0,0,1,0,4,19,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0
1/12/23,0,0,0,0,0,0,0,0,0,0,2,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1/13/23,0,0,0,1,0,0,0,0,1,0,8,19,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1/14/23,1,0,0,1,0,0,0,1,0,0,3,21,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1/15/23,0,0,0,0,0,0,0,0,1,0,6,125,0,0,14,2,1,0,0,1,1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,1,0,0
1/16/23,0,0,0,0,0,0,0,0,0,0,7,20,0,0,3,2,1,0,0,0,1,0,0,0,0,1,0,1,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0
1/17/23,0,1,0,0,1,0,0,0,0,0,2,14,0,0,2,4,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1/18/23,0,0,0,1,0,0,1,0,1,0,3,16,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0
1/19/23,0,0,0,4,0,0,0,1,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1/20/23,0,0,0,2,0,0,0,0,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1/21/23,0,0,0,0,1,0,0,0,1,0,6,16,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1/22/23,0,1,0,0,0,0,0,0,3,0,4,18,0,0,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
1/23/23,1,0,0,1,0,0,0,0,0,0,4,10,0,0,3,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/24/23,0,0,0,1,0,0,0,0,0,0,5,11,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0
1/25/23,0,0,0,0,0,0,0,0,1,0,3,25,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
1/26/23,1,0,0,0,0,0,0,0,0,0,4,15,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,2,1,0,0,1,0,0,0
1/27/23,0,0,0,3,0,0,0,0,2,0,2,21,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0
1/28/23,0,0,0,0,0,0,0,0,3,0,4,17,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1/29/23,0,0,0,1,1,0,0,0,2,0,3,37,0,0,3,3,0,0,0,5,0,0,1,0,0,0,0,2,3,3,0,2,0,0,0,1,2,0,0,0,0,0,0
1/30/23,0,0,0,0,1,0,0,0,0,0,13,39,0,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,1,0,1,0,0
1/31/23,1,0,0,1,0,0,0,0,1,0,4,22,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2/1/23,0,0,0,0,0,0,0,0,0,0,3,11,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0
2/2/23,0,0,0,0,0,0,0,0,0,0,4,20,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2/3/23,0,0,0,1,0,0,0,0,1,0,1,18,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2/4/23,0,0,0,0,0,0,0,0,0,0,2,12,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
2/5/23,0,0,0,0,1,0,0,0,0,0,3,15,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,1,0,0,1,0,0,0,0
2/6/23,0,0,0,1,1,0,0,0,1,0,3,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/7/23,0,1,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/23,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2/9/23,0,0,0,1,0,0,0,0,0,0,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0
2/10/23,0,0,0,1,0,0,0,0,0,0,3,12,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2/11/23,0,0,0,1,0,0,0,0,1,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2/12/23,0,0,0,0,0,0,0,0,1,0,2,3,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2/13/23,0,0,0,0,0,0,2,0,0,0,3,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
2/14/23,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,0,0
2/15/23,0,0,1,2,0,0,1,1,1,0,11,41,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,8,1,0,4,0,0,0,0,0,0,1,0,0,0,0
2/16/23,0,0,0,0,0,0,0,0,1,0,10,24,0,0,1,2,0,0,0,5,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2/17/23,0,0,0,1,0,0,0,0,0,0,2,20,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0
2/18/23,0,0,0,0,0,1,0,0,0,0,2,14,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/19/23,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0
2/20/23,0,0,0,1,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0
2/21/23,0,0,0,0,0,0,0,0,1,0,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0
2/22/23,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0
2/23/23,0,0,0,0,0,0,0,0,3,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
2/24/23,0,0,0,1,0,0,0,0,3,0,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2/25/23,0,0,0,0,0,0,0,0,0,0,1,19,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2/26/23,0,0,0,1,0,0,0,0,0,0,4,17,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2/27/23,0,0,0,0,0,0,0,0,1,0,4,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2/28/23,0,0,1,3,0,0,0,0,0,0,1,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
3/1/23,0,1,0,0,0,1,0,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0
3/2/23,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3/3/23,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
